representative	product	locus_tag
VNG_0001H	uncharacterized protein	VNG_0001H,VNG_RS00010,VNG0001H
VNG_0002G	ABC-type transport system ATP-binding protein(probable substrate macrolides)	VNG_0002G,VNG_RS00015,VNG0002G
VNG_0003C	ABC-type transport system permease protein(probable substrate macrolides)	VNG_0003C,VNG_RS00020,VNG0003C
VNG_0005H	uncharacterized protein	VNG_0005H,VNG_RS00025,VNG0005H
VNG_0006G	glutamine-fructose-6-phosphate transaminase	VNG_0006G,VNG_RS00030,VNG0006G
VNG_0008G	sugar nucleotidyltransferase	VNG_0008G,VNG_RS00035,VNG0008G
VNG_0009G	sugar nucleotidyltransferase	VNG_0009G,VNG_RS00040,VNG0009G
VNG_0011C	sugar transferase	VNG_0011C,VNG_RS00045,VNG0011C
VNG_0013C	IS1341-type transposase ISH37	VNG_0013C,VNG_RS00050,VNG0013C
VNG_0014a	ISH14-type transposase ISH29 (nonfunctional)	VNG_0014a,VNG_RS13890
VNG_0014C	3-isopropylmalate dehydratase large subunit(nonfunctional)	VNG_0014C,VNG_RS13885,VNG0014C
VNG_0015H	PemK family protein	VNG_0015H,VNG_RS00055,VNG0015H
VNG_0016H	HTH domain protein	VNG_0016H,VNG_RS00060,VNG0016H
VNG_0019H	uncharacterized protein	VNG_0019H,VNG0019H
VNG_0020H	Fido domain protein	VNG_0020H,VNG_RS00075,VNG0020H
VNG_0021H	ISH10-type transposase ISH10	VNG_0021H,VNG_7063,VNG_7146,VNG_6084H,VNG_6442H,VNG_RS00080,VNG_RS12530,VNG_RS12965,VNG_RS10835,VNG_RS12025,VNG0021H,VNG5087H,VNG5210H,VNG6084H,VNG6442H
VNG_0022H	uncharacterized protein	VNG_0022H,VNG_RS00085,VNG0022H
VNG_0023H	uncharacterized protein	VNG_0023H,VNG_RS00090,VNG0023H
VNG_0024H	uncharacterized protein	VNG_0024H,VNG_RS00095,VNG0024H
VNG_0025H	uncharacterized protein	VNG_0025H,VNG_RS00100,VNG0025H
VNG_0026C	IS1341-type transposase ISH38	VNG_0026C,VNG_RS00105,VNG0026C
VNG_0027a	uncharacterized protein	VNG_0027a
VNG_0027H	uncharacterized protein	VNG_0027H,VNG_RS13175,VNG0027H
VNG_0028C	homolog to ISH16-type transposase	VNG_0028C,VNG_RS00110,VNG0028C
VNG_0029a	uncharacterized protein	VNG_0029a
VNG_0029H	uncharacterized protein	VNG_0029H,VNG0029H
VNG_0030H	uncharacterized protein	VNG_0030H,VNG0030H
VNG_0031H	uncharacterized protein	VNG_0031H,VNG_RS00115,VNG0031H
VNG_0032H	uncharacterized protein	VNG_0032H,VNG_RS13190,VNG0032H
VNG_0033H	uncharacterized protein	VNG_0033H,VNG_RS13195,VNG0033H
VNG_0034H	HTH domain protein (C-term) (nonfunctional)	VNG_0034H,VNG_RS00120,VNG0034H
VNG_0035a	HTH domain protein (N-term) (nonfunctional)	VNG_0035a,VNG_RS00130
VNG_0035H	ISH9-type transposase ISH1	VNG_0035H,VNG_RS00125,VNG0035H
VNG_0037H	uncharacterized protein	VNG_0037H,VNG_RS00135,VNG0037H
VNG_0038H	UPF0395 family protein	VNG_0038H,VNG_RS00140,VNG0038H
VNG_0039a	uncharacterized protein (nonfunctional)	VNG_0039a
VNG_0039H	HTH domain protein	VNG_0039H,VNG_RS00145,VNG0039H
VNG_0040C	HTH domain protein	VNG_0040C,VNG_RS00150,VNG0040C
VNG_0041C	uncharacterized protein	VNG_0041C,VNG_RS00155,VNG0041C
VNG_0042G	IS1341-type transposase ISH39	VNG_0042G,VNG_RS00160,VNG0042G
VNG_0043H	IS200-type transposase ISH12	VNG_0043H,VNG_RS00165,VNG0043H
VNG_0044H	IS1341-type transposase ISH12	VNG_0044H,VNG_RS00170,VNG0044H
VNG_0045C	Orc1-type DNA replication protein	VNG_0045C,VNG_RS00175,VNG0045C
VNG_0046G	UDP-glucose 6-dehydrogenase AglM	VNG_0046G,VNG_RS00180,VNG0046G
VNG_0047G	UTP--glucose-1-phosphate uridylyltransferaseAglF	VNG_0047G,VNG_RS00185,VNG0047Gm
VNG_0049H	FkbM family methyltransferase	VNG_0049H,VNG_RS13205,VNG0049H
VNG_0050C	probable RfbX family transport protein	VNG_0050C,VNG_RS13210,VNG0050C
VNG_0051a	ISH3-type transposase ISH3	VNG_0051a,VNG_0115a,VNG_1587b,VNG_2669b,VNG_7032a,VNG_7095a,VNG_7096a,VNG_7127a,VNG_7136c,VNG_7176a,VNG_6038a,VNG_6132a,VNG_6135a,VNG_6149a,VNG_6156a,VNG_6327d,VNG_6341b,VNG_6487a,VNG_RS00200,VNG_RS00465,VNG_RS06175,VNG_RS10475,VNG_RS12360,VNG_RS12710,VNG_RS12720,VNG_RS12875,VNG_RS12925,VNG_RS13145,VNG_RS10665,VNG_RS11015,VNG_RS11025,VNG_RS11085,VNG_RS11105,VNG_RS11685,VNG_RS11735,VNG_RS12205
VNG_0051G	probable glycosyltransferase, type 1	VNG_0051G,VNG_RS00195,VNG0051G
VNG_0052H	ISH8-type transposase ISH8	VNG_0052H,VNG_7012,VNG_7032,VNG_6016H,VNG_6038H,VNG_6395H,VNG_RS00205,VNG_RS12265,VNG_RS12355,VNG_RS10570,VNG_RS10660,VNG_RS11910,VNG0052H,VNG5016H,VNG5040H,VNG6016H,VNG6038H,VNG6395H
VNG_0053H	AlkP-core domain protein (nonfunctional)	VNG_0053H,VNG_RS00210,VNG0053H
VNG_0054H	uncharacterized protein	VNG_0054H,VNG_RS00215,VNG0054H
VNG_0055H	spurious ORF	VNG_0055H,VNG_RS13215,VNG0055H
VNG_0056a	pectin lyase domain protein	VNG_0056a,VNG_RS13895
VNG_0056H	ISH10-type transposase ISH10	VNG_0056H,VNG_RS00220,VNG0056H
VNG_0057H	uncharacterized protein	VNG_0057H,VNG_RS00235,VNG0057H
VNG_0058a	uncharacterized protein (nonfunctional)	VNG_0058a
VNG_0058H	uncharacterized protein	VNG_0058H,VNG_RS00240,VNG0058H
VNG_0059H	ISH8-type transposase ISH8	VNG_0059H,VNG_0337H,VNG_2175H,VNG_7059,VNG_7150,VNG_6079H,VNG_6147H,VNG_6447H,VNG_RS00245,VNG_RS01330,VNG_RS08470,VNG_RS12515,VNG_RS12980,VNG_RS10820,VNG_RS11070,VNG_RS12040,VNG0059H,VNG0337H,VNG2175H,VNG5082H,VNG5215H,VNG6079H,VNG6147H,VNG6447H
VNG_0060G	probable glycosyltransferase, type 1	VNG_0060G,VNG_RS13220,VNG0060G
VNG_0061C	AlkP-core domain protein	VNG_0061C,VNG_RS00250,VNG0061C
VNG_0062G	probable glycosyltransferase, type 1	VNG_0062G,VNG_RS00255,VNG0062G
VNG_0063G	GalE family epimerase/dehydratase	VNG_0063G,VNG_RS00260,VNG0063G
VNG_0064G	UTP--glucose-1-phosphate uridylyltransferaseAglF	VNG_0064G,VNG_RS00265,VNG0064G
VNG_0065G	GalE family epimerase/dehydratase	VNG_0065G,VNG_RS00270,VNG0065G
VNG_0066H	UPF0175 family protein	VNG_0066H,VNG_RS00275,VNG0066H
VNG_0068H	GalE family epimerase/dehydratase(nonfunctional)	VNG_0068H,VNG_RS00285,VNG0068H
VNG_0069H	uncharacterized protein	VNG_0069H,VNG_RS13225,VNG0069H
VNG_0070a	GalE family epimerase/dehydratase(nonfunctional)	VNG_0070a
VNG_0070H	uncharacterized protein	VNG_0070H,VNG_RS00290,VNG0070H
VNG_0072a	uncharacterized protein	VNG_0072a,VNG_RS00300
VNG_0072H	homolog to endonuclease VapC	VNG_0072H,VNG_RS00295,VNG0072H
VNG_0073C	GalE family epimerase/dehydratase(nonfunctional)	VNG_0073C,VNG_RS00305,VNG0073C
VNG_0075H	HTH domain protein (N-term) (nonfunctional)	VNG_0075H,VNG_RS00310,VNG0075H
VNG_0076H	spurious ORF	VNG_0076H,VNG0076H
VNG_0077a	uncharacterized protein	VNG_0077a,VNG_RS00320
VNG_0077H	DUF4330 family protein	VNG_0077H,VNG_RS00315,VNG0077H
VNG_0079H	spurious ORF	VNG_0079H,VNG0079H
VNG_0080H	VanZ family protein	VNG_0080H,VNG_RS00325,VNG0080H
VNG_0081G	molybdopterin synthase catalytic subunit	VNG_0081G,VNG_RS00330,VNG0081G
VNG_0084G	SAMP-activating enzyme E1	VNG_0084G,VNG_RS00335,VNG0084G
VNG_0085G	GTP 3',8-cyclase	VNG_0085G,VNG_RS00340,VNG0085G
VNG_0086G	molybdopterin molybdenumtransferase	VNG_0086G,VNG_RS00345,VNG0086Gm
VNG_0089G	protein-L-isoaspartate O-methyltransferase	VNG_0089G,VNG_RS00355,VNG0089G
VNG_0090G	molybdopterin molybdenumtransferase	VNG_0090G,VNG_RS00350,VNG0090G
VNG_0091C	probable S-adenosylmethionine-dependentmethyltransferase	VNG_0091C,VNG_RS00360,VNG0091C
VNG_0094C	UCP015877 family protein	VNG_0094C,VNG_RS00365,VNG0094C
VNG_0095G	glyceraldehyde-3-phosphate dehydrogenase(NAD(P)) (phosphorylating)	VNG_0095G,VNG_RS00375,VNG0095G
VNG_0096C	aminopeptidase (homolog to leucyl aminopeptidase/ aminopeptidase T)	VNG_0096C,VNG_RS00370,VNG0096C
VNG_0097G	Hsp20-type molecular chaperone	VNG_0097G,VNG_RS00380,VNG0097G
VNG_0098G	ATP-grasp fold protein	VNG_0098G,VNG_RS00385,VNG0098G
VNG_0099G	50S ribosomal protein L16	VNG_0099G,VNG_RS00390,VNG0099G
VNG_0101G	cold shock protein	VNG_0101G,VNG_RS00395,VNG0101G
VNG_0102C	HAD superfamily hydrolase	VNG_0102C,VNG_RS00400,VNG0102C
VNG_0104G	probable D-2-hydroxyacid dehydrogenase	VNG_0104G,VNG_RS00405,VNG0104G
VNG_0105H	uncharacterized protein	VNG_0105H,VNG_RS00410,VNG0105H
VNG_0106G	type I restriction-modification systemDNA-methyltransferase RmeM	VNG_0106G,VNG_RS00415,VNG0106G
VNG_0107G	type I site-specific deoxyribonuclease subunitRmeS	VNG_0107G,VNG_RS00420,VNG0107G
VNG_0108G	type I site-specific deoxyribonuclease subunitRmeR	VNG_0108G,VNG_RS00425,VNG0108G
VNG_0110a	uncharacterized protein	VNG_0110a
VNG_0110b	integrase family protein (nonfunctional)	VNG_0110b
VNG_0110C	DUF45 family protein	VNG_0110C,VNG_RS00430,VNG0110C
VNG_0110d	DUF1628 domain protein (N-term) (nonfunctional)	VNG_0110d,VNG_RS14390
VNG_0112a	DUF1628 domain protein (N-term) (nonfunctional)	VNG_0112a
VNG_0112H	ISH3-type transposase ISH3	VNG_0112H,VNG_7011b,VNG_7079a,VNG_6015H,VNG_6111H,VNG_RS00445,VNG_RS12260,VNG_RS12625,VNG_RS10565,VNG_RS10930,VNG0112H,VNG5015H,VNG5114H,VNG6015H,VNG6111H
VNG_0113H	HTH-10 family transcription regulator	VNG_0113H,VNG_RS00450,VNG0113H
VNG_0115G	probable oxidoreductase (short-chaindehydrogenase family)	VNG_0115G,VNG_RS00455,VNG0115G
VNG_0116a	uncharacterized protein	VNG_0116a,VNG_RS00475
VNG_0116H	homolog to pHK2-ORF10	VNG_0116H,VNG_RS00470,VNG0116H
VNG_0117H	uncharacterized protein	VNG_0117H,VNG_RS00480,VNG0117H
VNG_0118H	uncharacterized protein	VNG_0118H,VNG_RS00485,VNG0118H
VNG_0119H	uncharacterized protein	VNG_0119H,VNG_RS14155,VNG0119H
VNG_0120H	uncharacterized protein	VNG_0120H,VNG0120H
VNG_0121H	DUF192 family protein	VNG_0121H,VNG_RS00495,VNG0121H
VNG_0123G	ABC-type transport system ATP-binding/permeaseprotein	VNG_0123G,VNG_RS00500,VNG0123G
VNG_0124C	creatininase domain protein	VNG_0124C,VNG_RS00505,VNG0124C
VNG_0125H	uncharacterized protein	VNG_0125H,VNG_RS00510,VNG0125H
VNG_0127C	dihydroneopterin aldolase, archaeal-type	VNG_0127C,VNG_RS00515,VNG0127C
VNG_0128C	glucose-6-phosphate 1-dehydrogenase (NAD)	VNG_0128C,VNG_RS00520,VNG0128C
VNG_0129G	HtpX-like protease	VNG_0129G,VNG_RS00525,VNG0129G
VNG_0130H	uncharacterized protein	VNG_0130H,VNG_RS00530,VNG0130H
