representative	gene_symbol	cog_id	cog_name	cog_category	functional_pathway
VNG_0002G	LolD	COG1136	ABC-type lipoprotein export system, ATPase component	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0003C	LolE	COG4591	ABC-type transport system involved in lipoprotein release, permease component LolC	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0005H	Stt3	COG1287	Asparagine N-glycosylation enzyme, membrane subunit Stt3	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0006G	GlmS	COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0008G	GCD1	COG1208	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	Translation, ribosomal structure and biogenesis	Undefined
VNG_0009G	GCD1	COG1208	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	Translation, ribosomal structure and biogenesis	Undefined
VNG_0011C	WcaJ	COG2148	Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0013C	InsQ	COG0675	Transposase	Mobilome: prophages, transposons	Undefined
VNG_0015H	MazF	COG2337	mRNA-degrading endonuclease MazF, toxin component of the MazEF toxin-antitoxin module	Defense mechanisms	Undefined
VNG_0021H	Undefined	COG3436	Transposase	Mobilome: prophages, transposons	Undefined
VNG_0026C	InsQ	COG0675	Transposase	Mobilome: prophages, transposons	Undefined
VNG_0028C	Csa3	COG3415	CRISPR-associated protein Csa3, CARF domain	Defense mechanisms	CRISPR-Cas system
VNG_0035H	IS5	COG3039	Transposase and inactivated derivatives, IS5 family	Mobilome: prophages, transposons	Undefined
VNG_0038H	YcfA	COG1724	Predicted RNA binding protein YcfA, dsRBD-like fold, HicA-like mRNA interferase family	General function prediction only	Undefined
VNG_0040C	Undefined	COG4190	Predicted transcriptional regulator, contains HTH domain	Transcription	Undefined
VNG_0042G	InsQ	COG0675	Transposase	Mobilome: prophages, transposons	Undefined
VNG_0043H	RAYT	COG1943	REP element-mobilizing transposase RayT	Mobilome: prophages, transposons	Undefined
VNG_0044H	InsQ	COG0675	Transposase	Mobilome: prophages, transposons	Undefined
VNG_0045C	CDC6	COG1474	Cdc6-related protein, AAA superfamily ATPase	Replication, recombination and repair	Undefined
VNG_0046G	Ugd	COG1004	UDP-glucose 6-dehydrogenase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0047G	RmlA1	COG1209	dTDP-glucose pyrophosphorylase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0050C	RfbX	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0051G	RfaB	COG0438	Glycosyltransferase involved in cell wall bisynthesis	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0052H	InsG	COG3385	IS4 transposase InsG	Mobilome: prophages, transposons	Undefined
VNG_0056H	Undefined	COG3436	Transposase	Mobilome: prophages, transposons	Undefined
VNG_0059H	InsG	COG3385	IS4 transposase InsG	Mobilome: prophages, transposons	Undefined
VNG_0061C	AslA	COG3119	Arylsulfatase A or related enzyme, AlkP superfamily	Inorganic ion transport and metabolism	Undefined
VNG_0062G	RfaB	COG0438	Glycosyltransferase involved in cell wall bisynthesis	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0063G	WcaG	COG0451	Nucleoside-diphosphate-sugar epimerase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0064G	RmlA1	COG1209	dTDP-glucose pyrophosphorylase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0065G	WcaG	COG0451	Nucleoside-diphosphate-sugar epimerase	Cell wall/membrane/envelope biogenesis	Undefined
VNG_0070H	RelE	COG2026	mRNA-degrading endonuclease RelE, toxin component of the RelBE toxin-antitoxin system	Defense mechanisms	Undefined
VNG_0072H	Undefined	COG2402	Predicted nucleic acid-binding protein, contains PIN domain	General function prediction only	Undefined
VNG_0081G	MoaE	COG0314	Molybdopterin synthase catalytic subunit MoaE	Coenzyme transport and metabolism	Molybdopterin biosynthesis
VNG_0084G	ThiF	COG0476	Molybdopterin or thiamine biosynthesis adenylyltransferase	Coenzyme transport and metabolism	Molybdopterin biosynthesis
VNG_0085G	MoaA	COG2896	GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA)	Coenzyme transport and metabolism	Molybdopterin biosynthesis
VNG_0086G	MoeA|YvgK	COG0303|COG1910	Molybdopterin Mo-transferase (molybdopterin biosynthesis)|Periplasmic molybdate-binding protein/domain	Coenzyme transport and metabolism|Inorganic ion transport and metabolism	Molybdopterin biosynthesis|Undefined
VNG_0089G	Pcm	COG2518	Protein-L-isoaspartate O-methyltransferase	Posttranslational modification, protein turnover, chaperones	Undefined
VNG_0090G	MoeA	COG0303	Molybdopterin Mo-transferase (molybdopterin biosynthesis)	Coenzyme transport and metabolism	Molybdopterin biosynthesis
